LOJA;LONGITUDE;LATITUDE;REGIAO;DISTRITO
671;-48,01945312;-15,83749816;GR10;TAGUATINGA
672;-34,92358122;-8,163503458;GR06;PERNAMBUCO 2
673;-35,19700012;-5,787848526;GR06;RIO G NORTE/PARAÍBA
674;-34,89679047;-8,120015392;GR06;PERNAMBUCO 2
675;-45,46427453;-22,92496471;GR09;VALE DO PARAIBA - SP
676;-45,20249813;-22,80363934;GR09;VALE DO PARAIBA - SP
677;-47,225166;-22,867619;GR04;CAMPINAS
678;-47,12467249;-22,95903951;GR04;CAMPINAS
679;-43,184755;-22,89753;GR12;RIO NITERÓI
680;-42,62498721;-19,52985758;GR02;MG INTERIOR
681;-49,29753766;-25,31008236;GR05;CURITIBA
682;-49,35094185;-25,42336654;GR05;CURITIBA
683;-41,12340367;-20,84148166;GR02;ESPIRITO SANTO
684;-44,44811392;-22,46371892;GR08;BAIXADA
685;-42,62779917;-22,71036558;GR12;RIO NITERÓI
686;-47,41362078;-22,7551155;GR04;CAMPINAS
687;-46,76263104;-23,54544647;GR01;TABOÃO/OSASCO
688;-43,424478;-22,705021;GR08;BAIXADA
689;-47,894977;-15,84665;GR10;BRASÍLIA
690;-40,2157173;-20,23085366;GR02;ESPIRITO SANTO
691;-43,89943216;-19,63242593;GR02;TRIANGULO MINEIRO/BH
692;-49,28829426;-25,45661073;GR05;CURITIBA
693;-43,97359936;-19,91518315;GR02;TRIANGULO MINEIRO/BH
694;-48,401239;-27,437748;GR05;SANTA CATARINA
695;-47,09525499;-22,93011147;GR04;CAMPINAS
696;-43,28993574;-22,88578009;GR03;RIO ZONA OESTE
697;-49,26406634;-16,70230364;GR10;GOIÁS/TOCANTINS
698;-47,555998;-24,708414;GR09;BAIXADA SANTISTA -SP
700;-43,36607761;-22,98013148;GR03;BARRA/IPANEMA
701;-41,323788;-21,757056;GR12;REG. SERRANA/MG INT
702;-43,28899493;-22,90502479;GR08;BAIXADA2
703;-51,04401801;-26,23090266;GR05;PARANA/SP INT
704;-49,37874323;-26,25371665;GR05;SANTA CATARINA
705;-49,40957005;-25,59208077;GR05;CURITIBA
706;-34,9754929;-8,0193056;GR06;PERNAMBUCO
707;-43,98913;-19,959628;GR02;TRIANGULO MINEIRO/BH
708;-43,984657;-19,872456;GR02;TRIANGULO MINEIRO/BH
709;-43,303963;-22,759036;GR08;BAIXADA2
710;-43,21398343;-22,91130904;GR08;BAIXADA2
711;-48,10960558;-24,72811377;GR09;BAIXADA SANTISTA -SP
712;-34,902359;-7,906603;GR06;PERNAMBUCO
713;-44,092285;-22,50569225;GR08;BAIXADA
714;-40,29625134;-20,3072427;GR02;ESPIRITO SANTO
715;-46,48482594;-23,60002786;GR01;ZONA LESTE-SP
716;-48,65244711;-26,90117193;GR05;SANTA CATARINA
717;-35,75856179;-7,837695627;GR06;PERNAMBUCO
718;-47,21805622;-23,10469349;GR04;CAMPINAS
719;-45,55680549;-22,96923582;GR09;VALE DO PARAIBA - SP
720;-35,7531;-8,234805;GR06;PERNAMBUCO
721;-38,49156359;-13,01158432;GR11;SALVADOR
722;-42,04446248;-22,8808284;GR12;REG. DOS LAGOS
723;-49,31474084;-25,64712162;GR05;CURITIBA
724;-43,0926023;-22,9205069;GR12;RIO NITERÓI
725;-43,92792;-19,951583;GR02;MG INTERIOR
726;-34,92053193;-8,035122411;GR06;PERNAMBUCO 2
727;-48,916142;-27,09784;GR05;SANTA CATARINA
729;-45,058032;-22,116194;GR12;REG. SERRANA/MG INT
730;-49,481396;-28,930346;GR05;SANTA CATARINA
731;-42,63991101;-21,53207694;GR12;REG. SERRANA/MG INT
732;-50,873194;-29,379524;GR05;RIO GRANDE DO SUL
733;-48,665066;-27,64397;GR05;SANTA CATARINA
734;-46,32835;-23,951736;GR09;BAIXADA SANTISTA -SP
735;-43,961285;-19,813728;GR02;MG INTERIOR
736;-49,957399;-29,649741;GR05;RIO GRANDE DO SUL
738;-52,409442;-28,262861;GR05;RIO GRANDE DO SUL
739;-54,261181;-28,302231;GR05;RIO GRANDE DO SUL
740;-43,803143;-20,254337;GR02;MG INTERIOR
741;-46,421165;-23,882397;GR09;BAIXADA SANTISTA -SP
742;-34,900625;-8,055233;GR06;PERNAMBUCO 2
743;-48,830263;-21,758986;GR04;SP INTERIOR
744;-44,063699;-20,020274;GR02;MG INTERIOR
745;-48,353732;-24,006748;GR09;BAIXADA SANTISTA -SP
746;-48,03701;-15,833677;GR10;BRASÍLIA
747;-48,501907;-21,409086;GR04;SP INTERIOR
748;-48,319281;-21,256666;GR04;SP INTERIOR
749;-43,496091;-22,976951;GR03;RIO ZONA OESTE
750;-37,631336;-7,743548;GR06;PERNAMBUCO
751;-46,13281;-23,839479;GR09;BAIXADA SANTISTA -SP
752;-51,146709;-23,312278;GR05;PARANA/SP INT
753;-46,602444;-23,479655;GR01;ABCD-SP
754;-53,60527051;-28,64288886;GR05;RIO GRANDE DO SUL
755;-50,812822;-29,361319;GR05;RIO GRANDE DO SUL
756;-49,281638;-25,438725;GR05;CURITIBA
757;-51,806276;-30,850012;GR05;RIO GRANDE DO SUL
758;-38,49249077;-12,94775562;GR11;SALVADOR
759;-43,175822;-22,962609;GR08;BARRA/IPANEMA
801;-46,67927622;-23,56278577;GR01;CENTRO-SP
802;-46,69345;-23,65601;GR01;ZONA SUL-SP
803;-46,67509144;-23,58099972;GR01;CENTRO-SP
804;-46,56172236;-23,55345091;GR01;ZONA LESTE-SP
805;-46,852845;-23,4988;GR01;TABOÃO/OSASCO
806;-46,58713234;-23,5751404;GR01;ZONA LESTE-SP
807;-46,73632;-23,62952;GR01;ZONA SUL-SP
808;-46,67836623;-23,67460175;GR01;CENTRO-SP
809;-46,66812282;-23,61464093;GR01;ZONA SUL-SP
812;-46,67611093;-23,54089857;GR01;ZONA SUL-SP
814;-46,63681492;-23,60220733;GR01;ZONA SUL-SP
816;-46,66001768;-23,59942457;GR01;ZONA SUL-SP
817;-46,68620044;-23,61076694;GR01;ZONA SUL-SP
818;-46,53793762;-23,66873092;GR01;ABCD-SP
819;-47,62872;-22,72346;GR04;CAMPINAS
820;-46,52983;-23,45853;GR01;ZONA LESTE-SP
821;-46,89404827;-23,1852706;GR04;CAMPINAS
822;-47,05678943;-22,89652317;GR04;CAMPINAS
823;-45,88990703;-23,19141586;GR09;VALE DO PARAIBA - SP
824;-46,75745711;-23,54826568;GR01;TABOÃO/OSASCO
826;-49,26954548;-25,45261781;GR05;CURITIBA
827;-46,628395;-23,621943;GR01;ABCD-SP
828;-49,29520819;-25,46749755;GR05;CURITIBA
830;-49,27981;-25,440175;GR05;CURITIBA
831;-46,70653038;-23,49863283;GR01;TABOÃO/OSASCO
832;-49,2640712;-16,6886597;GR10;GOIÁS/TOCANTINS
833;-46,565595;-23,6156;GR01;ABCD-SP
834;-46,63093933;-23,48170673;GR01;TABOÃO/OSASCO
835;-46,67066026;-23,64730051;GR01;ZONA SUL-SP
836;-46,61665515;-23,44844785;GR01;ABCD-SP
837;-47,88802928;-15,77240344;GR10;BRASÍLIA
838;-43,92856287;-19,92795339;GR02;TRIANGULO MINEIRO/BH
839;-43,20512141;-22,98434412;GR03;BARRA/IPANEMA
840;-46,70521591;-23,61740866;GR01;ZONA SUL-SP
842;-43,18891131;-22,97416673;GR03;BARRA/IPANEMA
843;-49,25958238;-25,41340517;GR05;CURITIBA
844;-43,93074582;-19,93523176;GR02;MG INTERIOR
845;-49,26717011;-16,71076734;GR10;GOIÁS/TOCANTINS
846;-43,23854972;-22,92403324;GR08;BAIXADA
847;-46,53922589;-23,54792085;GR01;ZONA LESTE-SP
848;-46,32562812;-23,94696317;GR09;BAIXADA SANTISTA -SP
850;-43,92910436;-19,88846453;GR02;TRIANGULO MINEIRO/BH
852;-51,16360761;-30,0281891;GR05;RIO GRANDE DO SUL
853;-46,52610245;-23,53693468;GR01;ZONA LESTE-SP
854;-47,901048;-15,80865;GR10;BRASÍLIA
855;-51,18423091;-30,02207181;GR05;RIO GRANDE DO SUL
856;-46,6406429;-23,50466572;GR01;ABCD-SP
857;-43,24878341;-22,92305904;GR08;BAIXADA2
863;-46,64957132;-23,57639176;GR01;ZONA SUL-SP
864;-46,6738326;-23,61622834;GR01;ZONA SUL-SP
865;-43,1971252;-22,95586496;GR03;RIO ZONA OESTE
866;-43,22409245;-22,98474621;GR03;BARRA/IPANEMA
867;-46,30931293;-23,98351906;GR09;BAIXADA SANTISTA -SP
868;-46,71023212;-23,52835192;GR01;TABOÃO/OSASCO
869;-47,9290779;-15,80321835;GR10;BRASÍLIA
870;-43,22650843;-22,92469268;GR08;BAIXADA
871;-43,95636768;-19,93298471;GR02;MG INTERIOR
872;-46,54365947;-23,71158318;GR01;ABCD-SP
